date,slot,row_type,prodcode,prodname,md,bpu,brand,category,UV,PV,cust,ord,qty,rev,h_UV,h_PV,h_cust,h_ord,h_qty,h_rev
2024-07-01,Total,TOTAL, , , , , , ,107,185,6,7,7,302909.090909091,71,88,3,4,4,173090.909090909
2024-07-01,오전,SLOT,IEPA4E501MU,[2PACK] 타슬란 하프 팬츠,유대규(yoodk0706),e-영업1,일꼬르소,남성,89,146,6,7,7,302909.090909091,55,68,3,4,4,173090.909090909
2024-07-01,오후,SLOT,DNGF4F956BK,[ONLINE EXCLUSIVE][BEST SELLER] 블랙 하우스 체크 경량 토트백,차단비(danbi),e-영업1,닥스,골프,21,39,0,0,0,0,19,20,,,,
2024-07-02,Total,TOTAL, , , , , , ,97,220,2,3,3,507681.818181818,37,43,1,1,1,169227.272727273
2024-07-02,오전,SLOT,DMPA4B303B2,[클리어런스][BEST 재입고] 테이퍼드핏 써머 데님,이상희(ray),e-영업1,닥스,남성,19,43,2,3,3,507681.818181818,8,10,1,1,1,169227.272727273
2024-07-02,오후,SLOT,AEBL4B402WT,러플 핀턱 블라우스 화이트,강승혜(kshsh0802),e-영업1,앳코너,여성,79,177,0,0,0,0,30,33,,,,
2024-07-03,Total,TOTAL, , , , , , ,27,47,0,0,0,0,22,26,,,,
2024-07-03,오전,SLOT,DNGF4F951BK,[ONLINE EXCLUSIVE][BEST SELLER] 블랙 하우스 체크 경량 숄더백,차단비(danbi),e-영업1,닥스,골프,19,34,0,0,0,0,14,15,,,,
2024-07-03,오후,SLOT,FXBCXXS01XX,로브제 부아 소바쥬 핸드 + 바디 솝 500ML,홍지영(hjy1094),e-영업4,로브제,뷰티,9,13,0,0,0,0,9,11,,,,
2024-07-04,Total,TOTAL, , , , , , ,121,269,6,6,7,305454.545454545,70,87,2,2,2,92363.6363636364
2024-07-04,오전,SLOT,JLSO4E605W2,[엘피] 브라운 소가죽 피셔맨 샌들,배미선(msbae),e-영업1,질 바이 질스튜어트,잡화,57,129,3,3,3,192000,29,36,1,1,1,64000
2024-07-04,오후,SLOT,IESW4E501N3,에센셜 카라 반팔 니트 다크네이비,유대규(yoodk0706),e-영업1,일꼬르소,남성,66,140,3,3,4,113454.545454545,43,51,1,1,1,28363.6363636364
2024-07-05,Total,TOTAL, , , , , , ,100,172,0,0,0,0,72,83,,,,
2024-07-05,오전,SLOT,DNGF4F952I3,[ONLINE EXCLUSIVE][BEST SELLER] 베이지 하우스 체크 경량 마이크로백,차단비(danbi),e-영업1,닥스,골프,17,37,0,0,0,0,7,11,,,,
2024-07-05,오후,SLOT,AEDR4B009CR,[BEST]마린 스트라이프 플리츠 드레스 크림,강승혜(kshsh0802),e-영업1,앳코너,여성,83,135,0,0,0,0,65,72,,,,
2024-07-06,Total,TOTAL, , , , , , ,56,94,1,1,1,115136.363636364,40,42,,,,
2024-07-06,오전,SLOT,DMTS4B502BK,[클리어런스][닥스훈트] 체크 포인트 반팔 티셔츠,이상희(ray),e-영업1,닥스,남성,51,86,1,1,1,115136.363636364,35,36,,,,
2024-07-06,오후,SLOT,HUBA4E115OW,[클리어런스]화이트 웨빙 포인트 파우치백,차단비(danbi),e-영업1,헤지스,골프,5,8,0,0,0,0,5,6,,,,
2024-07-07,Total,TOTAL, , , , , , ,48,120,2,2,2,146272.727272727,28,34,2,2,2,146272.727272727
2024-07-07,오전,SLOT,FXBCXXS03XX,로브제 꼬떼 마뀌스 핸드 + 바디 솝 500ML,홍지영(hjy1094),e-영업4,로브제,뷰티,11,19,1,1,1,60454.5454545454,11,11,1,1,1,60454.5454545454
2024-07-07,오후,SLOT,HWPA4B923BK,[클리어런스]블랙 여성 린넨라이크 쇼츠,차단비(danbi),e-영업1,헤지스,골프,39,101,1,1,1,85818.1818181818,19,23,1,1,1,85818.1818181818
2024-07-08,Total,TOTAL, , , , , , ,66,156,6,6,6,436409.090909091,49,58,5,5,5,400000
2024-07-08,오전,SLOT,TOSO3E008IV,[클리어런스][알파가타 로프] 아이보리 여성 슬립온,이유빈(yubin.lee),e-영업2,탐스,슈즈,27,54,1,1,1,36409.0909090909,22,22,,,,
2024-07-08,오후,SLOT,DNMU4E901I1,[클리어런스] 1+1 스킨 냉감 메쉬 볼레로 베이스레이어 세트,차단비(danbi),e-영업1,닥스,골프,41,102,5,5,5,400000,29,36,5,5,5,400000
2024-07-09,Total,TOTAL, , , , , , ,83,188,3,3,3,358000,63,82,2,2,2,329636.363636364
2024-07-09,오전,SLOT,IESH4E501B1,에센셜 반팔 셔츠 라이트블루,유대규(yoodk0706),e-영업1,일꼬르소,남성,53,112,1,1,1,28363.6363636364,35,37,,,,
2024-07-09,오후,SLOT,CBFRXXT95XX,레 자뎅 프랑세 오 트리쁠 향수 베트라브 75ml (유통기한 25.08.31),홍지영(hjy1094),e-영업4,오피신 유니버셀 불리,뷰티,33,76,2,2,2,329636.363636364,31,45,2,2,2,329636.363636364
2024-07-10,Total,TOTAL, , , , , , ,72,208,6,7,7,875272.727272727,63,87,6,7,7,875272.727272727
2024-07-10,오전,SLOT,IESH4E404B1,투포켓 데님 반팔 셔츠 라이트블루,허화연(h.hwayeon),e-영업1,일꼬르소,남성,50,144,3,3,3,216000,42,55,3,3,3,216000
2024-07-10,오후,SLOT,CBFRXXT92XX,레 자뎅 프랑세 오 트리쁠 향수 콩콩브르 75ml ,홍지영(hjy1094),e-영업4,오피신 유니버셀 불리,뷰티,24,64,3,4,4,659272.727272727,23,32,3,4,4,659272.727272727
2024-07-11,Total,TOTAL, , , , , , ,73,177,5,5,5,395136.363636364,48,57,3,3,3,234818.181818182
2024-07-11,오전,SLOT,HWPA4B923N3,[클리어런스]네이비 여성 린넨라이크 쇼츠,차단비(danbi),e-영업1,헤지스,골프,50,111,2,2,2,171636.363636364,29,37,1,1,1,85818.1818181818
2024-07-11,오후,SLOT,FFSO2E319N3,[Microwobbleboard][루루 크리스탈 엠벨리시드 토-포스트 ] 미드나잇네이비 여성,이유빈(yubin.lee),e-영업2,핏플랍,슈즈,23,66,3,3,3,223500,19,20,2,2,2,149000
2024-07-12,Total,TOTAL, , , , , , ,41,93,1,1,1,87272.7272727273,34,41,,,,
2024-07-12,오전,SLOT,DNTS4B900WT,[클리어런스] 여성 1+1 냉감 하이넥 이너,차단비(danbi),e-영업1,닥스,골프,24,51,1,1,1,87272.7272727273,20,25,,,,
2024-07-12,오후,SLOT,DMSW4B301IV,[클리어런스][닥스훈트] 퓨어코튼 엠보체크  반팔 스웨터,이상희(ray),e-영업1,닥스,남성,17,42,0,0,0,0,14,16,,,,
2024-07-13,Total,TOTAL, , , , , , ,55,102,2,2,2,130909.090909091,39,46,1,1,1,65454.5454545454
2024-07-13,오전,SLOT,DGTS4B990WT,[클리어런스] 남성 1+1 냉감 슬리브리스 이너,차단비(danbi),e-영업1,닥스,골프,39,76,2,2,2,130909.090909091,30,36,1,1,1,65454.5454545454
2024-07-13,오후,SLOT,HUTS4B916B3,[클리어런스]블루 남성 스윙핏 스트레치 카라 티셔츠,차단비(danbi),e-영업1,헤지스,골프,17,26,0,0,0,0,10,10,,,,
2024-07-14,Total,TOTAL, , , , , , ,90,200,7,7,7,545454.545454545,31,37,4,4,4,301818.181818182
2024-07-14,오전,SLOT,IEPA4E406B1,카펜더 데님 반바지 라이트블루,허화연(h.hwayeon),e-영업1,일꼬르소,남성,31,89,4,4,4,288000,22,28,3,3,3,216000
2024-07-14,오후,SLOT,HWPA4B923I2,[클리어런스]베이지 여성 린넨라이크 쇼츠,차단비(danbi),e-영업1,헤지스,골프,59,111,3,3,3,257454.545454545,9,9,1,1,1,85818.1818181818
2024-07-15,Total,TOTAL, , , , , , ,63,115,1,1,1,28363.6363636364,35,40,1,1,1,28363.6363636364
2024-07-15,오전,SLOT,IESW4E501CR,에센셜 카라 반팔 니트 크림,유대규(yoodk0706),e-영업1,일꼬르소,남성,48,85,1,1,1,28363.6363636364,22,24,1,1,1,28363.6363636364
2024-07-15,오후,SLOT,AETS3E004K2,스트라이프 와플 티셔츠 카키,강승혜(kshsh0802),e-영업1,앳코너,여성,16,30,0,0,0,0,14,16,,,,
2024-07-16,Total,TOTAL, , , , , , ,64,131,8,8,8,713363.636363636,44,51,7,7,7,592454.545454545
2024-07-16,오전,SLOT,JNTS4B111I2,[클리어런스]아이보리 텍스쳐 오픈카라 반팔 티셔츠,허화연(h.hwayeon),e-영업1,질스튜어트 뉴욕,남성,44,99,5,5,5,604545.454545454,28,29,4,4,4,483636.363636364
2024-07-16,오후,SLOT,CASTXX538XX,[LF몰1등 탈모샴푸] 아떼 샴푸 1L (헤어에센스 본품 & 여행용 헤어 2종 증정),이슬(slee0821),e-영업4,아떼,뷰티,21,32,3,3,3,108818.181818182,17,22,3,3,3,108818.181818182
2024-07-17,Total,TOTAL, , , , , , ,67,144,1,1,1,222727.272727273,31,44,1,1,1,222727.272727273
2024-07-17,오전,SLOT,JNSH4B012I2,[클리어런스][Urban Crochet] 베이지 썸머 크로쉐 반팔 셔츠,허화연(h.hwayeon),e-영업1,질스튜어트 뉴욕,남성,51,117,1,1,1,222727.272727273,15,22,1,1,1,222727.272727273
2024-07-17,오후,SLOT,AESW4B411IV,[클리어런스] 보트넥 스트링 골지 니트 풀오버 아이보리,강승혜(kshsh0802),e-영업1,앳코너,여성,19,27,0,0,0,0,19,22,,,,
2024-07-18,Total,TOTAL, , , , , , ,47,114,0,0,0,0,23,29,,,,
2024-07-18,오전,SLOT,DNSK4B901I2,[클리어런스] 여성 베이지 플리츠 스커트,차단비(danbi),e-영업1,닥스,골프,20,34,0,0,0,0,7,8,,,,
2024-07-18,오후,SLOT,IEPA4E005BK,[DRY COOL] 밴딩 원 턱 매직 팬츠 블랙,허화연(h.hwayeon),e-영업1,일꼬르소,남성,27,80,0,0,0,0,16,21,,,,
2024-07-19,Total,TOTAL, , , , , , ,42,75,0,0,0,0,31,35,,,,
2024-07-19,오전,SLOT,AEPA4B405BK,[클리어런스] 코튼 투턱 쇼츠 블랙,강승혜(kshsh0802),e-영업1,앳코너,여성,24,31,0,0,0,0,21,23,,,,
2024-07-19,오후,SLOT,DMSH4B502N2,[클리어런스][닥스훈트] 린넨 캐쥬얼 반팔 셔츠,이상희(ray),e-영업1,닥스,남성,20,44,0,0,0,0,12,12,,,,
2024-07-20,Total,TOTAL, , , , , , ,34,65,1,1,1,27181.8181818182,20,22,1,1,1,27181.8181818182
2024-07-20,오전,SLOT,DGPA4B901BK,[클리어런스] 블랙 일자핏 여름 밴딩 팬츠,차단비(danbi),e-영업1,닥스,골프,19,39,0,0,0,0,6,6,,,,
2024-07-20,오후,SLOT,CASTXX554XX,[1+1][비타민생기충전 물광토너] 아떼 바이탈C좀 토너 130mlx2개,이슬(slee0821),e-영업4,아떼,뷰티,15,26,1,1,1,27181.8181818182,14,16,1,1,1,27181.8181818182
2024-07-21,Total,TOTAL, , , , , , ,52,118,3,3,3,327000,29,33,2,2,2,232227.272727273
2024-07-21,오전,SLOT,AESW4B405I1,[클리어런스] 아가일 스카시 니트 가디건 라이트베이지,강승혜(kshsh0802),e-영업1,앳코너,여성,26,46,2,2,2,189545.454545455,20,22,1,1,1,94772.7272727273
2024-07-21,오후,SLOT,FFSO4E601BK,[원더웰리]  블랙 여성 숏 레인부츠 장화,이유빈(yubin.lee),e-영업1,핏플랍,슈즈,26,72,1,1,1,137454.545454545,9,11,1,1,1,137454.545454545
2024-07-22,Total,TOTAL, , , , , , ,52,110,2,2,2,245818.181818182,32,36,1,1,1,122909.090909091
2024-07-22,오전,SLOT,DLTS4BP21B1,[클리어런스]블루 그라데이션 플리츠 7부소매 티셔츠,윤여은(yye),e-영업1,닥스,여성,22,55,0,0,0,0,14,14,,,,
2024-07-22,오후,SLOT,DMTS4B311N2,[클리어런스][재입고/리뷰BEST] 쿨터치 깅엄 체크 반팔 티셔츠,이상희(ray),e-영업1,닥스,남성,31,55,2,2,2,245818.181818182,19,22,1,1,1,122909.090909091
2024-07-23,Total,TOTAL, , , , , , ,63,146,2,2,2,247272.727272727,47,57,2,2,2,247272.727272727
2024-07-23,오전,SLOT,DNGF4F962I2,[ONLINE EXCLUSIVE] 스몰 베이지 하우스 체크 경량 미디움 마이크로백,차단비(danbi),e-영업1,닥스,골프,33,78,2,2,2,247272.727272727,27,32,2,2,2,247272.727272727
2024-07-23,오후,SLOT,G269XX01423,트리플 실버(C) 라운드 귀걸이 HL3E38364C9XXX,박세미(sm.park),e-영업3,이에르 로르,잡화,31,68,0,0,0,0,21,25,,,,
2024-07-24,Total,TOTAL, , , , , , ,52,118,4,4,4,737318.181818182,38,44,1,1,1,211909.090909091
2024-07-24,오전,SLOT,CBSTXX776XX,오 트리쁠 향수 이리 드 말트 75ml (선물포장 가능),홍지영(hjy1094),e-영업4,오피신 유니버셀 불리,뷰티,29,54,3,3,3,635727.272727273,20,26,1,1,1,211909.090909091
2024-07-24,오후,SLOT,DMTS4B502N2,[클리어런스][닥스훈트] 체크 포인트 반팔 티셔츠,이상희(ray),e-영업1,닥스,남성,23,64,1,1,1,101590.909090909,18,18,,,,
2024-07-25,Total,TOTAL, , , , , , ,61,111,3,3,3,363272.727272727,51,57,2,2,2,242181.818181818
2024-07-25,오전,SLOT,DNGF4F962BK,[ONLINE EXCLUSIVE] 블랙 하우스 체크 경량 미디움 마이크로백,차단비(danbi),e-영업1,닥스,골프,15,29,0,0,0,0,13,14,,,,
2024-07-25,오후,SLOT,G269XX01400,트리플 실버(C) 목걸이 HL3N36635C9600,박세미(sm.park),e-영업3,이에르 로르,잡화,47,82,3,3,3,363272.727272727,39,43,2,2,2,242181.818181818
2024-07-26,Total,TOTAL, , , , , , ,56,109,1,1,1,42909.0909090909,32,40,1,1,1,42909.0909090909
2024-07-26,오전,SLOT,IETS4E409WT,투톤 스모크 아트웍 반팔 티셔츠 화이트,허화연(h.hwayeon),e-영업1,일꼬르소,남성,29,59,1,1,1,42909.0909090909,23,28,1,1,1,42909.0909090909
2024-07-26,오후,SLOT,HSSH3B795K2,카키 로고자수 반팔셔츠,윤여은(yye),e-영업2,헤지스,여성,28,50,0,0,0,0,10,12,,,,
2024-07-27,Total,TOTAL, , , , , , ,79,153,1,1,1,69090.9090909091,53,60,1,1,1,69090.9090909091
2024-07-27,오전,SLOT,IESH4E407CR,크로쉐 반팔 셔츠 크림,허화연(h.hwayeon),e-영업1,일꼬르소,남성,64,123,1,1,1,69090.9090909091,44,48,1,1,1,69090.9090909091
2024-07-27,오후,SLOT,DLTS4C394CG,[클리어런스][SET] 차콜그레이 골지 슬리브리스&체크 7부소매 카라 셔츠,윤여은(yye),e-영업1,닥스,여성,15,30,0,0,0,0,9,12,,,,
2024-07-28,Total,TOTAL, , , , , , ,84,225,2,2,2,152727.272727273,50,64,,,,
2024-07-28,오전,SLOT,JNTS4B114CG,스모키블루 다잉 오버핏 티셔츠,허화연(h.hwayeon),e-영업1,질스튜어트 뉴욕,남성,44,134,2,2,2,152727.272727273,18,25,,,,
2024-07-28,오후,SLOT,IETS4E702WT,[일꼬르소X미즈노] 시즌 로고 반팔 티셔츠 화이트,허화연(h.hwayeon),e-영업1,일꼬르소,남성,42,91,0,0,0,0,34,39,,,,
2024-07-29,Total,TOTAL, , , , , , ,65,117,2,2,2,199727.272727273,35,44,,,,
2024-07-29,오전,SLOT,DMTS4B513P2,[클리어런스][기능성소재] 컬러블럭 반팔 티셔츠_핑크,이상희(ray),e-영업1,닥스,남성,19,35,2,2,2,199727.272727273,14,18,,,,
2024-07-29,오후,SLOT,DLTS4C493N2,[클리어런스]네이비 스트라이프 반소매 카라 티셔츠,윤여은(yye),e-영업1,닥스,여성,48,82,0,0,0,0,23,26,,,,
2024-07-30,Total,TOTAL, , , , , , ,82,221,3,3,3,228954.545454545,43,52,1,1,1,67500
2024-07-30,오전,SLOT,DMTS4B501I2,[클리어런스][닥스훈트] 베이지 카라 포인트 반팔 티셔츠,이상희(ray),e-영업1,닥스,남성,33,101,1,1,1,93954.5454545454,24,27,,,,
2024-07-30,오후,SLOT,DNTS4B902BA,[클리어런스] 체크 포인트 라운드 블랙 반팔티셔츠,차단비(danbi),e-영업1,닥스,골프,49,120,2,2,2,135000,19,25,1,1,1,67500
2024-07-31,Total,TOTAL, , , , , , ,137,269,2,2,2,324545.454545455,69,83,1,1,1,162272.727272727
2024-07-31,오전,SLOT,DLSR4ET11N2,[클리어런스][수영복]네이비 체크 니트 자카드 3PCS 수영복,윤여은(yye),e-영업1,닥스,여성,107,188,2,2,2,324545.454545455,44,52,1,1,1,162272.727272727
2024-07-31,오후,SLOT,VLTS4B209WT,[클리어런스]화이트 자수 프린트 반팔 티셔츠,김효신(carriekim),e-영업1,바네사브루노,여성,33,81,0,0,0,0,27,31,,,,
2024-08-01,Total,TOTAL, , , , , , ,109,240,0,0,0,0,78,88,,,,
2024-08-01,오전,SLOT,DMTS4B501K2,[클리어런스][닥스훈트] 카라 포인트 반팔 티셔츠,이상희(ray),e-영업1,닥스,남성,43,81,0,0,0,0,37,37,,,,
2024-08-01,오후,SLOT,DMPA4B303B2,[클리어런스][BEST 재입고] 테이퍼드핏 써머 데님,이상희(ray),e-영업1,닥스,남성,67,159,0,0,0,0,42,51,,,,
2024-08-02,Total,TOTAL, , , , , , ,126,316,3,3,3,1026727.27272727,87,121,3,3,3,1026727.27272727
2024-08-02,오전,SLOT,FFSO4E135W3,[클리어런스][바라] 소가죽 브라운 여성 샌들 (굽높이 : 3.1cm),이유빈(yubin.lee),e-영업1,핏플랍,슈즈,50,111,1,1,1,166545.454545455,32,43,1,1,1,166545.454545455
2024-08-02,오후,SLOT,VLDR4B237BK,[클리어런스]블랙 린넨혼방 반팔 원피스,김효신(carriekim),e-영업1,바네사브루노,여성,84,205,2,2,2,860181.818181818,61,78,2,2,2,860181.818181818
2024-08-03,Total,TOTAL, , , , , , ,94,193,4,4,4,302909.090909091,54,65,4,4,4,302909.090909091
2024-08-03,오전,SLOT,CBFRXXT90XX,레 자뎅 프랑세 오 트리쁠 향수 그로세이 75ml,홍지영(hjy1094),e-영업4,오피신 유니버셀 불리,뷰티,22,48,0,0,0,0,19,25,,,,
2024-08-03,오후,SLOT,AEBL4B401IV,[BEST]타이 턱 반팔 블라우스 아이보리,강승혜(kshsh0802),e-영업1,앳코너,여성,72,145,4,4,4,302909.090909091,35,40,4,4,4,302909.090909091
2024-08-04,Total,TOTAL, , , , , , ,36,88,4,6,15,2099363.63636364,31,39,2,2,2,303000
2024-08-04,오전,SLOT,CBFRXXT92XX,레 자뎅 프랑세 오 트리쁠 향수 콩콩브르 75ml ,홍지영(hjy1094),e-영업4,오피신 유니버셀 불리,뷰티,17,31,1,1,1,164818.181818182,17,22,1,1,1,164818.181818182
2024-08-04,오후,SLOT,DNGF4F956I3,[ONLINE EXCLUSIVE][BEST SELLER] 베이지 하우스 체크 경량 토트백,차단비(danbi),e-영업1,닥스,골프,20,57,3,5,14,1934545.45454545,15,17,1,1,1,138181.818181818
2024-08-05,Total,TOTAL, , , , , , ,112,260,1,1,1,149545.454545455,80,96,1,1,1,149545.454545455
2024-08-05,오전,SLOT,HWPA4B923N3,[클리어런스]네이비 여성 린넨라이크 쇼츠,차단비(danbi),e-영업1,헤지스,골프,54,108,0,0,0,0,37,44,,,,
2024-08-05,오후,SLOT,DLTS4BP21P1,[클리어런스]핑크 그라데이션 플리츠 7부소매 티셔츠,윤여은(yye),e-영업1,닥스,여성,59,152,1,1,1,149545.454545455,44,52,1,1,1,149545.454545455
2024-08-06,Total,TOTAL, , , , , , ,221,476,15,15,19,927272.727272727,117,133,8,8,11,309090.909090909
2024-08-06,오전,SLOT,HWMU4E901N3,[클리어런스]네이비 헤지스 얼음주머니(S),차단비(danbi),e-영업1,헤지스,골프,83,142,11,11,15,185454.545454545,58,63,7,7,10,123636.363636364
2024-08-06,오후,SLOT,DLSH4CI36N2,[클리어런스]네이비 포켓 장식 7부소매 셔츠,윤여은(yye),e-영업1,닥스,여성,140,334,4,4,4,741818.181818182,61,70,1,1,1,185454.545454545
2024-08-07,Total,TOTAL, , , , , , ,107,223,1,1,1,93090.9090909091,76,88,,,,
2024-08-07,오전,SLOT,HWGF4E901N2,[클리어런스]네이비 캔버스 토트백,차단비(danbi),e-영업1,헤지스,골프,41,80,1,1,1,93090.9090909091,33,38,,,,
2024-08-07,오후,SLOT,AEBL4B401I1,[클리어런스][BEST]타이 턱 반팔 블라우스 라이트베이지,강승혜(kshsh0802),e-영업1,앳코너,여성,67,143,0,0,0,0,44,50,,,,
2024-08-08,Total,TOTAL, , , , , , ,148,303,6,6,6,738136.363636364,97,114,4,4,4,492090.909090909
2024-08-08,오전,SLOT,HWPA4B923I2,[클리어런스]베이지 여성 린넨라이크 쇼츠,차단비(danbi),e-영업1,헤지스,골프,104,208,3,3,3,257454.545454545,72,84,2,2,2,171636.363636364
2024-08-08,오후,SLOT,DLTS4BP27N3,[클리어런스]네이비 플리츠 그라데이션 체크배색 7부소매티셔츠,윤여은(yye),e-영업1,닥스,여성,46,95,3,3,3,480681.818181818,26,30,2,2,2,320454.545454545
2024-08-09,Total,TOTAL, , , , , , ,69,175,4,4,4,753454.545454545,64,91,3,3,3,565090.909090909
2024-08-09,오전,SLOT,CBFRXXT93XX,레 자뎅 프랑세 오 트리쁠 향수 베르벤느 75ml,홍지영(hjy1094),e-영업4,오피신 유니버셀 불리,뷰티,50,133,4,4,4,753454.545454545,48,70,3,3,3,565090.909090909
2024-08-09,오후,SLOT,AEBL4B404B1,[클리어런스] 리본 타이 슬리브리스 탑 라이트블루,강승혜(kshsh0802),e-영업1,앳코너,여성,22,42,0,0,0,0,19,21,,,,
2024-08-10,Total,TOTAL, , , , , , ,119,254,6,6,28,230045.454545455,103,125,5,5,18,199136.363636364
2024-08-10,오전,SLOT,DLPA4BP22BK,[클리어런스]블랙 플리츠 변형 와이드 팬츠,윤여은(yye),e-영업1,닥스,여성,61,143,1,1,1,146590.909090909,54,66,1,1,1,146590.909090909
2024-08-10,오후,SLOT,D996XX00046,[강한보습/천연비누/식물성오일] 사봉 드 마르세이유 SAVR 100G 9개향 中 택1,홍지영(hjy1094),e-영업4,르샤트라1802,뷰티,60,111,5,5,27,83454.5454545454,50,59,4,4,17,52545.4545454545
2024-08-11,Total,TOTAL, , , , , , ,179,400,25,25,34,970181.818181818,136,165,19,19,28,745090.909090909
2024-08-11,오전,SLOT,JASR4E105N2,[클리어런스][랩스커트포함] 네이비 스트라이프 투피스 수영복,배미선(msbae),e-영업1,질스튜어트 뉴욕,잡화,86,206,2,2,2,213818.181818182,57,69,1,1,1,106909.090909091
2024-08-11,오후,SLOT,D996XX00122,[강한보습/천연비누/식물성오일]사봉 드 마르세이유 10개(동키밀크/레드프룻/알로에/로즈피오니/라벤더플라워 각 2개),홍지영(hjy1094),e-영업4,르샤트라1802,뷰티,99,194,23,23,32,756363.636363636,85,96,18,18,27,638181.818181818
2024-08-12,Total,TOTAL, , , , , , ,70,138,0,0,0,0,48,54,,,,
2024-08-12,오전,SLOT,AEJA4B404WT,[클리어런스] 버튼 포인트 트위드자켓 화이트,강승혜(kshsh0802),e-영업1,앳코너,여성,33,67,0,0,0,0,30,32,,,,
2024-08-12,오후,SLOT,JNTS4B111I2,[클리어런스]아이보리 텍스쳐 오픈카라 반팔 티셔츠,허화연(h.hwayeon),e-영업1,질스튜어트 뉴욕,남성,38,71,0,0,0,0,19,22,,,,
2024-08-13,Total,TOTAL, , , , , , ,39,68,2,2,2,69818.1818181818,33,45,2,2,2,69818.1818181818
2024-08-13,오전,SLOT,HUGV4E910WT,[클리어런스]남성 한손 장갑 3종 SET,차단비(danbi),e-영업1,헤지스,골프,30,47,2,2,2,69818.1818181818,25,30,2,2,2,69818.1818181818
2024-08-13,오후,SLOT,CBFRXXT95XX,레 자뎅 프랑세 오 트리쁠 향수 베트라브 75ml (유통기한 25.08.31),홍지영(hjy1094),e-영업4,오피신 유니버셀 불리,뷰티,10,21,0,0,0,0,9,15,,,,
2024-08-14,Total,TOTAL, , , , , , ,83,160,3,3,3,162590.909090909,59,68,1,1,1,37863.6363636364
2024-08-14,오전,SLOT,HUTS4B993W3,[클리어런스]다크 브라운 HAVE A NICE GOLF DAY 반팔티(유니섹스),차단비(danbi),e-영업1,헤지스,골프,56,92,2,2,2,124727.272727273,33,35,,,,
2024-08-14,오후,SLOT,DMSS4E502BK,[클리어런스]블랙 자수장식 면혼방 중목양말5종세트,이상희(ray),e-영업1,닥스,남성,30,68,1,1,1,37863.6363636364,28,33,1,1,1,37863.6363636364
2024-08-15,Total,TOTAL, , , , , , ,143,264,5,5,5,167045.454545455,95,109,4,4,4,133636.363636364
2024-08-15,오전,SLOT,HUTS4B922E3,[클리어런스]그린 남녀공용 와이드 스트라이프 라운드 티셔츠,차단비(danbi),e-영업1,헤지스,골프,37,58,0,0,0,0,15,15,,,,
2024-08-15,오후,SLOT,AETS4B401I1,베이직 실켓 티셔츠 라이트베이지,강승혜(kshsh0802),e-영업1,앳코너,여성,108,206,5,5,5,167045.454545455,82,94,4,4,4,133636.363636364
2024-08-16,Total,TOTAL, , , , , , ,93,191,5,5,5,511000,75,88,5,5,5,511000
2024-08-16,오전,SLOT,IEPA4E005BK,[DRY COOL] 밴딩 원 턱 매직 팬츠 블랙,허화연(h.hwayeon),e-영업1,일꼬르소,남성,46,93,2,2,2,100545.454545455,41,51,2,2,2,100545.454545455
2024-08-16,오후,SLOT,DLPA4BP21N2,[클리어런스]네이비 플리츠 그라데이션 체크배색 풀밴딩팬츠,윤여은(yye),e-영업1,닥스,여성,47,98,3,3,3,410454.545454545,34,37,3,3,3,410454.545454545
2024-08-17,Total,TOTAL, , , , , , ,141,242,5,5,5,185454.545454545,108,127,4,4,4,148363.636363636
2024-08-17,오전,SLOT,IEPA4E501MU,[2PACK] 타슬란 하프 팬츠,유대규(yoodk0706),e-영업1,일꼬르소,남성,101,154,5,5,5,185454.545454545,72,80,4,4,4,148363.636363636
2024-08-17,오후,SLOT,IETS4E419CR,파이트 클럽 아트웍 링거 반팔 티셔츠 크림,허화연(h.hwayeon),e-영업1,일꼬르소,남성,45,88,0,0,0,0,40,47,,,,
2024-08-18,Total,TOTAL, , , , , , ,139,294,1,1,1,31181.8181818182,92,102,,,,
2024-08-18,오전,SLOT,WSTS3B421WT,[populet]화이트 스트라이프 면 반팔티셔츠,윤여은(yye),e-영업2,헤지스,여성,72,129,0,0,0,0,34,36,,,,
2024-08-18,오후,SLOT,IETS4E415BK,워크 포켓 반팔 티셔츠 블랙,허화연(h.hwayeon),e-영업1,일꼬르소,남성,68,165,1,1,1,31181.8181818182,59,66,,,,
2024-08-19,Total,TOTAL, , , , , , ,99,198,1,1,1,75727.2727272727,80,91,,,,
2024-08-19,오전,SLOT,WSDR3BC31BK,[populet]블랙 컬러배색 면 반팔카라원피스,윤여은(yye),e-영업2,헤지스,여성,79,158,0,0,0,0,64,69,,,,
2024-08-19,오후,SLOT,AEPA4B405BK,[클리어런스] 코튼 투턱 쇼츠 블랙,강승혜(kshsh0802),e-영업1,앳코너,여성,22,40,1,1,1,75727.2727272727,18,22,,,,
2024-08-20,Total,TOTAL, , , , , , ,120,289,6,7,7,1228818.18181818,87,103,4,4,4,649090.909090909
2024-08-20,오전,SLOT,JABA4E937I2,[LF몰단독][VACATION] 베이지 트래블 보스턴백 라지(보부상가방/여행가방),배미선(msbae),e-영업1,질스튜어트 뉴욕,잡화,38,94,1,2,2,417454.545454545,30,34,,,,
2024-08-20,오후,SLOT,DLSR4ET11N2,[클리어런스][수영복]네이비 체크 니트 자카드 3PCS 수영복,윤여은(yye),e-영업1,닥스,여성,83,195,5,5,5,811363.636363636,58,69,4,4,4,649090.909090909
